seed,scenario_id,time_slot,embb_arrival_bits,urllc_arrival_packets,urllc_arrival_bits
42,stable_load,333,16440,2,5120
42,stable_load,334,17672,0,0
42,stable_load,335,18980,1,2560
42,stable_load,336,20484,0,0
42,stable_load,337,18121,2,5120
42,stable_load,338,19359,0,0
42,stable_load,339,15647,1,2560
42,stable_load,340,21358,3,7680
42,stable_load,341,18397,1,2560
42,stable_load,342,19318,4,10240
42,stable_load,343,18174,1,2560
42,stable_load,344,16450,1,2560
42,stable_load,345,17032,1,2560
42,stable_load,346,18882,0,0
42,stable_load,347,19561,2,5120
42,stable_load,348,17607,1,2560
42,stable_load,349,15255,0,0
42,stable_load,350,18663,2,5120
42,stable_load,351,19926,3,7680
42,stable_load,352,14767,3,7680
42,stable_load,353,19075,1,2560
42,stable_load,354,19474,1,2560
42,stable_load,355,18674,0,0
42,stable_load,356,16708,1,2560
42,stable_load,357,17940,1,2560
42,stable_load,358,19940,2,5120
42,stable_load,359,15778,3,7680
42,stable_load,360,18800,1,2560
42,stable_load,361,15973,0,0
42,stable_load,362,18649,2,5120
42,stable_load,363,18266,1,2560
42,stable_load,364,18023,2,5120
42,stable_load,365,19610,1,2560
42,stable_load,366,16855,3,7680
42,stable_load,367,18739,0,0
42,stable_load,368,17467,4,10240
42,stable_load,369,16896,1,2560
42,stable_load,370,15693,2,5120
42,stable_load,371,21182,2,5120
42,stable_load,372,18711,4,10240
42,stable_load,373,15346,2,5120
42,stable_load,374,17385,0,0
42,stable_load,375,18719,2,5120
42,stable_load,376,18390,1,2560
42,stable_load,377,18457,3,7680
42,stable_load,378,16674,0,0
42,stable_load,379,20187,1,2560
42,stable_load,380,19260,1,2560
42,stable_load,381,15753,1,2560
42,stable_load,382,17507,1,2560
42,stable_load,383,17011,2,5120
42,stable_load,384,17004,2,5120
42,stable_load,385,20540,3,7680
42,stable_load,386,16646,3,7680
42,stable_load,387,19241,1,2560
42,stable_load,388,19341,0,0
42,stable_load,389,16644,2,5120
42,stable_load,390,18099,1,2560
42,stable_load,391,16807,2,5120
42,stable_load,392,16674,0,0
42,stable_load,393,18421,0,0
42,stable_load,394,16900,2,5120
42,stable_load,395,17986,4,10240
42,stable_load,396,17352,1,2560
42,stable_load,397,20747,2,5120
42,stable_load,398,19013,3,7680
42,stable_load,399,18551,0,0
42,stable_load,400,17699,0,0
42,stable_load,401,19234,2,5120
42,stable_load,402,20497,1,2560
42,stable_load,403,20089,1,2560
42,stable_load,404,18985,1,2560
42,stable_load,405,19246,2,5120
42,stable_load,406,18554,3,7680
42,stable_load,407,17911,1,2560
42,stable_load,408,15220,1,2560
42,stable_load,409,14820,2,5120
42,stable_load,410,16215,2,5120
42,stable_load,411,16141,2,5120
42,stable_load,412,18305,3,7680
42,stable_load,413,16351,2,5120
42,stable_load,414,18963,0,0
42,stable_load,415,18272,4,10240
42,stable_load,416,18020,3,7680
42,stable_load,417,17023,0,0
42,stable_load,418,15874,4,10240
42,stable_load,419,20322,3,7680
42,stable_load,420,17913,3,7680
42,stable_load,421,17398,0,0
42,stable_load,422,17319,2,5120
42,stable_load,423,16912,1,2560
42,stable_load,424,18958,4,10240
42,stable_load,425,16981,2,5120
42,stable_load,426,16409,0,0
42,stable_load,427,14652,2,5120
42,stable_load,428,20376,1,2560
42,stable_load,429,19068,3,7680
42,stable_load,430,16234,2,5120
42,stable_load,431,19833,1,2560
42,stable_load,432,19851,1,2560
42,stable_load,433,19600,1,2560
42,stable_load,434,17895,3,7680
42,stable_load,435,19628,0,0
42,stable_load,436,18991,2,5120
42,stable_load,437,16686,2,5120
42,stable_load,438,17684,5,12800
42,stable_load,439,18450,2,5120
42,stable_load,440,18249,1,2560
42,stable_load,441,18782,1,2560
42,stable_load,442,18629,1,2560
42,stable_load,443,16207,2,5120
42,stable_load,444,15465,1,2560
42,stable_load,445,17587,3,7680
42,stable_load,446,16278,2,5120
42,stable_load,447,20550,3,7680
42,stable_load,448,18614,0,0
42,stable_load,449,18608,2,5120
42,stable_load,450,20967,1,2560
42,stable_load,451,16845,2,5120
42,stable_load,452,17396,1,2560
42,stable_load,453,19751,1,2560
42,stable_load,454,16700,4,10240
42,stable_load,455,15988,0,0
42,stable_load,456,16760,2,5120
42,stable_load,457,16473,2,5120
42,stable_load,458,17073,3,7680
42,stable_load,459,21642,0,0
42,stable_load,460,19501,1,2560
42,stable_load,461,18593,1,2560
42,stable_load,462,17518,2,5120
42,stable_load,463,15606,1,2560
42,stable_load,464,17293,1,2560
42,stable_load,465,19525,0,0
42,stable_load,466,17631,1,2560
42,stable_load,467,19430,1,2560
42,stable_load,468,17079,2,5120
42,stable_load,469,19741,2,5120
42,stable_load,470,21577,2,5120
42,stable_load,471,18525,1,2560
42,stable_load,472,14898,2,5120
42,stable_load,473,18100,4,10240
42,stable_load,474,16990,1,2560
42,stable_load,475,19132,1,2560
42,stable_load,476,15450,2,5120
42,stable_load,477,17932,0,0
42,stable_load,478,19483,3,7680
42,stable_load,479,17766,0,0
42,stable_load,480,16237,0,0
42,stable_load,481,17899,0,0
42,stable_load,482,17153,2,5120
42,stable_load,483,19474,1,2560
42,stable_load,484,20395,1,2560
42,stable_load,485,21908,2,5120
42,stable_load,486,17675,2,5120
42,stable_load,487,16776,5,12800
42,stable_load,488,14131,4,10240
42,stable_load,489,18623,0,0
42,stable_load,490,16563,1,2560
42,stable_load,491,16488,1,2560
42,stable_load,492,18686,0,0
42,stable_load,493,17769,1,2560
42,stable_load,494,17437,4,10240
42,stable_load,495,16565,0,0
42,stable_load,496,18352,2,5120
42,stable_load,497,19283,0,0
42,stable_load,498,19169,2,5120
42,stable_load,499,17280,3,7680
